timestamp;evento;clase;car_in;car_out;moto_in;moto_out;car_inv;moto_inv;modelo;conf;orientacion;pos_linea;invertido;fuente
2025-09-28T14:49:42.024039;IN;motorcycle;0;0;1;0;4;4;yolo12n.pt;0.30;horizontal;0.62;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_144932_9.mp4
2025-09-28T14:50:37.309694;IN;car;1;0;0;0;5;4;yolo12n.pt;0.30;horizontal;0.62;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_144932_9.mp4
2025-09-28T14:51:03.061128;SUMMARY;-;1;0;1;0;5;4;yolo12n.pt;0.30;horizontal;0.62;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_144932_9.mp4
