timestamp;evento;clase;car_in;car_out;moto_in;moto_out;car_inv;moto_inv;modelo;conf;orientacion;pos_linea;invertido;fuente
2025-09-28T14:29:37.491463;IN;motorcycle;0;0;1;0;4;4;yolo12n.pt;0.30;horizontal;0.65;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142925_9.mp4
2025-09-28T14:30:37.432919;IN;car;1;0;0;0;5;4;yolo12n.pt;0.30;horizontal;0.65;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142925_9.mp4
2025-09-28T14:31:05.021769;IN;car;1;0;0;0;6;4;yolo12n.pt;0.30;horizontal;0.65;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142925_9.mp4
2025-09-28T14:31:40.628907;SUMMARY;-;2;0;1;0;6;4;yolo12n.pt;0.30;horizontal;0.65;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142925_9.mp4
