timestamp;evento;clase;car_in;car_out;moto_in;moto_out;car_inv;moto_inv;modelo;conf;orientacion;pos_linea;invertido;fuente
2025-09-28T14:25:42.367796;IN;motorcycle;0;0;1;0;5;6;yolo11n.pt;0.30;horizontal;0.72;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142536_9.mp4
2025-09-28T14:25:50.509455;SUMMARY;-;0;0;1;0;5;6;yolo11n.pt;0.30;horizontal;0.72;False;C:\Users\nemes\Documents\Especializacion IA\Proyectos IA\proyecto final\Final\Ivan\contador-de-vehiculos-uao-main\uploads\20250928_142536_9.mp4
